"environment"	"difficulty"	"option.order"	"trial"	"a"	"b"	"c"
"2611"	"dynamic"	"hard"	"mgb"	109	2	-31	-86
"2635"	"dynamic"	"hard"	"mgb"	110	1	-28	13
"2659"	"dynamic"	"hard"	"mgb"	111	-53	4	29
"2683"	"dynamic"	"hard"	"mgb"	112	-30	-11	30
"2707"	"dynamic"	"hard"	"mgb"	113	-25	-43	4
"2731"	"dynamic"	"hard"	"mgb"	114	-81	65	4
"2755"	"dynamic"	"hard"	"mgb"	115	10	-19	1
"2779"	"dynamic"	"hard"	"mgb"	116	20	7	2
"2803"	"dynamic"	"hard"	"mgb"	117	-1	-19	22
"2827"	"dynamic"	"hard"	"mgb"	118	-29	-9	51
"2851"	"dynamic"	"hard"	"mgb"	119	-30	-38	-4
"2875"	"dynamic"	"hard"	"mgb"	120	33	31	-10
"2899"	"dynamic"	"hard"	"mgb"	121	-15	38	-15
"2923"	"dynamic"	"hard"	"mgb"	122	44	-48	18
"2947"	"dynamic"	"hard"	"mgb"	123	-11	32	12
"2971"	"dynamic"	"hard"	"mgb"	124	34	6	-35
"2995"	"dynamic"	"hard"	"mgb"	125	-72	8	75
"3019"	"dynamic"	"hard"	"mgb"	126	-36	-37	9
"3043"	"dynamic"	"hard"	"mgb"	127	20	0	32
"3067"	"dynamic"	"hard"	"mgb"	128	56	-5	17
"3091"	"dynamic"	"hard"	"mgb"	129	-37	-19	38
"3115"	"dynamic"	"hard"	"mgb"	130	37	23	5
"3139"	"dynamic"	"hard"	"mgb"	131	-46	-63	28
"3163"	"dynamic"	"hard"	"mgb"	132	-43	-25	-3
"3187"	"dynamic"	"hard"	"mgb"	133	59	11	21
"3211"	"dynamic"	"hard"	"mgb"	134	-7	-68	-41
"3235"	"dynamic"	"hard"	"mgb"	135	22	-58	-70
"3259"	"dynamic"	"hard"	"mgb"	136	-10	-49	18
"3283"	"dynamic"	"hard"	"mgb"	137	41	20	22
"3307"	"dynamic"	"hard"	"mgb"	138	27	28	36
"3331"	"dynamic"	"hard"	"mgb"	139	49	-23	-25
"3355"	"dynamic"	"hard"	"mgb"	140	-16	-27	-16
"3379"	"dynamic"	"hard"	"mgb"	141	18	16	19
"3403"	"dynamic"	"hard"	"mgb"	142	48	32	43
"3427"	"dynamic"	"hard"	"mgb"	143	-38	2	-41
"3451"	"dynamic"	"hard"	"mgb"	144	-10	-1	-52
"3475"	"dynamic"	"hard"	"mgb"	145	0	10	15
"3499"	"dynamic"	"hard"	"mgb"	146	-28	-6	-56
"3523"	"dynamic"	"hard"	"mgb"	147	1	-30	31
"3547"	"dynamic"	"hard"	"mgb"	148	-4	6	4
"3571"	"dynamic"	"hard"	"mgb"	149	-22	-32	0
"3595"	"dynamic"	"hard"	"mgb"	150	13	-7	5
"3619"	"dynamic"	"hard"	"mgb"	151	3	30	-19
"3643"	"dynamic"	"hard"	"mgb"	152	32	22	16
"3667"	"dynamic"	"hard"	"mgb"	153	-11	-43	15
"3691"	"dynamic"	"hard"	"mgb"	154	1	11	40
"3715"	"dynamic"	"hard"	"mgb"	155	25	47	-16
"3739"	"dynamic"	"hard"	"mgb"	156	4	-8	4
"3763"	"dynamic"	"hard"	"mgb"	157	-5	12	-58
"3787"	"dynamic"	"hard"	"mgb"	158	-25	-40	32
"3811"	"dynamic"	"hard"	"mgb"	159	0	-52	59
"3835"	"dynamic"	"hard"	"mgb"	160	-19	-46	43
"3859"	"dynamic"	"hard"	"mgb"	161	-63	-9	5
"3883"	"dynamic"	"hard"	"mgb"	162	29	-25	15
"3907"	"dynamic"	"hard"	"mgb"	163	-51	-5	-46
"3931"	"dynamic"	"hard"	"mgb"	164	-27	29	30
"3955"	"dynamic"	"hard"	"mgb"	165	30	-20	-6
"3979"	"dynamic"	"hard"	"mgb"	166	6	8	-3
"4003"	"dynamic"	"hard"	"mgb"	167	-19	31	-1
"4027"	"dynamic"	"hard"	"mgb"	168	26	13	3
"4051"	"dynamic"	"hard"	"mgb"	169	53	-4	-24
"4075"	"dynamic"	"hard"	"mgb"	170	1	-34	15
"4099"	"dynamic"	"hard"	"mgb"	171	-21	-7	39
"4123"	"dynamic"	"hard"	"mgb"	172	42	24	-24
"4147"	"dynamic"	"hard"	"mgb"	173	11	-77	5
"4171"	"dynamic"	"hard"	"mgb"	174	21	-7	-23
"4195"	"dynamic"	"hard"	"mgb"	175	-25	-10	53
"4219"	"dynamic"	"hard"	"mgb"	176	-6	-23	-10
"4243"	"dynamic"	"hard"	"mgb"	177	16	29	-84
"4267"	"dynamic"	"hard"	"mgb"	178	11	33	45
"4291"	"dynamic"	"hard"	"mgb"	179	-19	-12	31
"4315"	"dynamic"	"hard"	"mgb"	180	-27	10	16
"4339"	"dynamic"	"hard"	"mgb"	181	25	-12	36
"4363"	"dynamic"	"hard"	"mgb"	182	-8	59	34
"4387"	"dynamic"	"hard"	"mgb"	183	-12	-25	17
"4411"	"dynamic"	"hard"	"mgb"	184	99	-56	27
"4435"	"dynamic"	"hard"	"mgb"	185	-11	3	-6
"4459"	"dynamic"	"hard"	"mgb"	186	2	-23	-7
"4483"	"dynamic"	"hard"	"mgb"	187	-16	-17	-10
"4507"	"dynamic"	"hard"	"mgb"	188	4	35	-52
"4531"	"dynamic"	"hard"	"mgb"	189	30	4	40
"4555"	"dynamic"	"hard"	"mgb"	190	-35	-22	-7
"4579"	"dynamic"	"hard"	"mgb"	191	-3	37	19
"4603"	"dynamic"	"hard"	"mgb"	192	-10	-33	32
"4627"	"dynamic"	"hard"	"mgb"	193	-8	29	-5
"4651"	"dynamic"	"hard"	"mgb"	194	-25	-11	38
"4675"	"dynamic"	"hard"	"mgb"	195	-8	-75	-29
"4699"	"dynamic"	"hard"	"mgb"	196	3	30	-12
"4723"	"dynamic"	"hard"	"mgb"	197	1	-4	9
"4747"	"dynamic"	"hard"	"mgb"	198	-7	-22	59
"4771"	"dynamic"	"hard"	"mgb"	199	25	-61	17
"4795"	"dynamic"	"hard"	"mgb"	200	5	7	-17
"6"	"stable"	"easy"	"bgm"	1	-10	8	9
"30"	"stable"	"easy"	"bgm"	2	-37	14	1
"54"	"stable"	"easy"	"bgm"	3	9	5	9
"78"	"stable"	"easy"	"bgm"	4	9	9	7
"102"	"stable"	"easy"	"bgm"	5	-2	15	-2
"126"	"stable"	"easy"	"bgm"	6	-5	1	4
"150"	"stable"	"easy"	"bgm"	7	-26	-33	12
"174"	"stable"	"easy"	"bgm"	8	-6	7	1
"198"	"stable"	"easy"	"bgm"	9	-6	-6	-12
"222"	"stable"	"easy"	"bgm"	10	3	9	-4
"246"	"stable"	"easy"	"bgm"	11	15	14	-6
"270"	"stable"	"easy"	"bgm"	12	-18	29	-8
"294"	"stable"	"easy"	"bgm"	13	-21	-4	9
"318"	"stable"	"easy"	"bgm"	14	-1	-13	1
"342"	"stable"	"easy"	"bgm"	15	-13	8	-15
"366"	"stable"	"easy"	"bgm"	16	12	-13	5
"390"	"stable"	"easy"	"bgm"	17	-4	-9	-11
"414"	"stable"	"easy"	"bgm"	18	7	0	-6
"438"	"stable"	"easy"	"bgm"	19	5	5	-29
"462"	"stable"	"easy"	"bgm"	20	-2	-2	-16
"486"	"stable"	"easy"	"bgm"	21	-13	-3	-14
"510"	"stable"	"easy"	"bgm"	22	7	8	-13
"534"	"stable"	"easy"	"bgm"	23	-14	13	-11
"558"	"stable"	"easy"	"bgm"	24	2	3	11
"582"	"stable"	"easy"	"bgm"	25	10	7	-3
"606"	"stable"	"easy"	"bgm"	26	-11	20	-3
"630"	"stable"	"easy"	"bgm"	27	4	21	-8
"654"	"stable"	"easy"	"bgm"	28	-15	4	-2
"678"	"stable"	"easy"	"bgm"	29	-20	16	-1
"702"	"stable"	"easy"	"bgm"	30	2	3	-11
"726"	"stable"	"easy"	"bgm"	31	-8	29	-2
"750"	"stable"	"easy"	"bgm"	32	-2	0	18
"774"	"stable"	"easy"	"bgm"	33	-14	-12	-14
"798"	"stable"	"easy"	"bgm"	34	-8	-7	-14
"822"	"stable"	"easy"	"bgm"	35	-3	12	-4
"846"	"stable"	"easy"	"bgm"	36	-8	-11	15
"870"	"stable"	"easy"	"bgm"	37	-13	8	10
"894"	"stable"	"easy"	"bgm"	38	-5	14	17
"918"	"stable"	"easy"	"bgm"	39	-26	8	13
"942"	"stable"	"easy"	"bgm"	40	-6	1	-11
"966"	"stable"	"easy"	"bgm"	41	-7	29	2
"990"	"stable"	"easy"	"bgm"	42	12	-12	-5
"1014"	"stable"	"easy"	"bgm"	43	-6	4	-3
"1038"	"stable"	"easy"	"bgm"	44	-15	11	-16
"1062"	"stable"	"easy"	"bgm"	45	-17	-5	6
"1086"	"stable"	"easy"	"bgm"	46	-7	1	-7
"1110"	"stable"	"easy"	"bgm"	47	-17	2	4
"1134"	"stable"	"easy"	"bgm"	48	-13	-4	-5
"1158"	"stable"	"easy"	"bgm"	49	-5	3	-9
"1182"	"stable"	"easy"	"bgm"	50	-3	21	-16
"1206"	"stable"	"easy"	"bgm"	51	1	2	4
"1230"	"stable"	"easy"	"bgm"	52	-7	15	-3
"1254"	"stable"	"easy"	"bgm"	53	-14	-6	9
"1278"	"stable"	"easy"	"bgm"	54	-10	5	1
"1302"	"stable"	"easy"	"bgm"	55	-13	9	1
"1326"	"stable"	"easy"	"bgm"	56	-19	-4	16
"1350"	"stable"	"easy"	"bgm"	57	3	14	0
"1374"	"stable"	"easy"	"bgm"	58	-5	16	9
"1398"	"stable"	"easy"	"bgm"	59	0	2	14
"1422"	"stable"	"easy"	"bgm"	60	-21	-2	-7
"1446"	"stable"	"easy"	"bgm"	61	10	7	-9
"1470"	"stable"	"easy"	"bgm"	62	3	23	15
"1494"	"stable"	"easy"	"bgm"	63	-18	16	-13
"1518"	"stable"	"easy"	"bgm"	64	-4	27	2
"1542"	"stable"	"easy"	"bgm"	65	-9	-8	-9
"1566"	"stable"	"easy"	"bgm"	66	15	0	6
"1590"	"stable"	"easy"	"bgm"	67	1	19	1
"1614"	"stable"	"easy"	"bgm"	68	2	5	11
"1638"	"stable"	"easy"	"bgm"	69	3	-12	-3
"1662"	"stable"	"easy"	"bgm"	70	3	14	19
"1686"	"stable"	"easy"	"bgm"	71	-8	12	-5
"1710"	"stable"	"easy"	"bgm"	72	0	6	4
"1734"	"stable"	"easy"	"bgm"	73	2	17	-6
"1758"	"stable"	"easy"	"bgm"	74	-9	21	-20
"1782"	"stable"	"easy"	"bgm"	75	-11	1	1
"1806"	"stable"	"easy"	"bgm"	76	-11	1	9
"1830"	"stable"	"easy"	"bgm"	77	-5	24	-17
"1854"	"stable"	"easy"	"bgm"	78	-4	11	29
"1878"	"stable"	"easy"	"bgm"	79	-11	4	-12
"1902"	"stable"	"easy"	"bgm"	80	7	2	16
"1926"	"stable"	"easy"	"bgm"	81	-8	-1	3
"1950"	"stable"	"easy"	"bgm"	82	8	-6	9
"1974"	"stable"	"easy"	"bgm"	83	-3	11	-4
"1998"	"stable"	"easy"	"bgm"	84	9	16	11
"2022"	"stable"	"easy"	"bgm"	85	-1	-2	5
"2046"	"stable"	"easy"	"bgm"	86	1	8	5
"2070"	"stable"	"easy"	"bgm"	87	6	7	0
"2094"	"stable"	"easy"	"bgm"	88	-6	6	-5
"2118"	"stable"	"easy"	"bgm"	89	-6	2	11
"2142"	"stable"	"easy"	"bgm"	90	-5	0	-11
"2166"	"stable"	"easy"	"bgm"	91	-9	-11	-2
"2190"	"stable"	"easy"	"bgm"	92	-4	2	2
"2214"	"stable"	"easy"	"bgm"	93	-11	6	-3
"2238"	"stable"	"easy"	"bgm"	94	-22	-15	12
"2262"	"stable"	"easy"	"bgm"	95	-4	-10	9
"2286"	"stable"	"easy"	"bgm"	96	-1	9	-3
"2310"	"stable"	"easy"	"bgm"	97	8	-8	10
"2334"	"stable"	"easy"	"bgm"	98	2	7	4
"2358"	"stable"	"easy"	"bgm"	99	-1	15	13
"2382"	"stable"	"easy"	"bgm"	100	-11	-7	-3
"2406"	"stable"	"easy"	"bgm"	101	5	5	4
"2430"	"stable"	"easy"	"bgm"	102	2	-4	5
"2454"	"stable"	"easy"	"bgm"	103	-15	7	5
"2478"	"stable"	"easy"	"bgm"	104	16	-3	-1
"2502"	"stable"	"easy"	"bgm"	105	6	11	1
"2526"	"stable"	"easy"	"bgm"	106	7	-16	0
"2550"	"stable"	"easy"	"bgm"	107	-20	6	-14
"2574"	"stable"	"easy"	"bgm"	108	-16	4	10
"2598"	"stable"	"easy"	"bgm"	109	-12	16	0
"2622"	"stable"	"easy"	"bgm"	110	-16	29	0
"2646"	"stable"	"easy"	"bgm"	111	1	10	-5
"2670"	"stable"	"easy"	"bgm"	112	0	-1	-8
"2694"	"stable"	"easy"	"bgm"	113	13	11	12
"2718"	"stable"	"easy"	"bgm"	114	11	13	-5
"2742"	"stable"	"easy"	"bgm"	115	-17	8	-3
"2766"	"stable"	"easy"	"bgm"	116	-6	10	-12
"2790"	"stable"	"easy"	"bgm"	117	-13	22	-16
"2814"	"stable"	"easy"	"bgm"	118	11	-7	2
"2838"	"stable"	"easy"	"bgm"	119	0	1	17
"2862"	"stable"	"easy"	"bgm"	120	-10	22	7
"2886"	"stable"	"easy"	"bgm"	121	-10	1	0
"2910"	"stable"	"easy"	"bgm"	122	7	10	16
"2934"	"stable"	"easy"	"bgm"	123	3	-4	-17
"2958"	"stable"	"easy"	"bgm"	124	-16	6	-12
"2982"	"stable"	"easy"	"bgm"	125	4	6	13
"3006"	"stable"	"easy"	"bgm"	126	2	0	-13
"3030"	"stable"	"easy"	"bgm"	127	-3	0	27
"3054"	"stable"	"easy"	"bgm"	128	2	-1	-3
"3078"	"stable"	"easy"	"bgm"	129	1	7	-5
"3102"	"stable"	"easy"	"bgm"	130	-9	-1	9
"3126"	"stable"	"easy"	"bgm"	131	5	-3	4
"3150"	"stable"	"easy"	"bgm"	132	4	4	-13
"3174"	"stable"	"easy"	"bgm"	133	-4	12	12
"3198"	"stable"	"easy"	"bgm"	134	-5	-7	-11
"3222"	"stable"	"easy"	"bgm"	135	-7	9	3
"3246"	"stable"	"easy"	"bgm"	136	7	2	-1
"3270"	"stable"	"easy"	"bgm"	137	-4	10	-6
"3294"	"stable"	"easy"	"bgm"	138	-30	4	14
"3318"	"stable"	"easy"	"bgm"	139	-16	-14	-8
"3342"	"stable"	"easy"	"bgm"	140	-5	-7	10
"3366"	"stable"	"easy"	"bgm"	141	-12	15	18
"3390"	"stable"	"easy"	"bgm"	142	-11	20	10
"3414"	"stable"	"easy"	"bgm"	143	3	-6	-5
"3438"	"stable"	"easy"	"bgm"	144	-10	-2	-16
"3462"	"stable"	"easy"	"bgm"	145	-13	13	13
"3486"	"stable"	"easy"	"bgm"	146	8	20	8
"3510"	"stable"	"easy"	"bgm"	147	-5	-4	-11
"3534"	"stable"	"easy"	"bgm"	148	-12	5	-10
"3558"	"stable"	"easy"	"bgm"	149	-10	-3	-4
"3582"	"stable"	"easy"	"bgm"	150	-4	-2	-3
"3606"	"stable"	"easy"	"bgm"	151	3	8	4
"3630"	"stable"	"easy"	"bgm"	152	-5	3	-2
"3654"	"stable"	"easy"	"bgm"	153	-7	13	6
"3678"	"stable"	"easy"	"bgm"	154	-2	-10	11
"3702"	"stable"	"easy"	"bgm"	155	-19	2	2
"3726"	"stable"	"easy"	"bgm"	156	-11	20	-12
"3750"	"stable"	"easy"	"bgm"	157	-3	-15	-5
"3774"	"stable"	"easy"	"bgm"	158	-6	-12	3
"3798"	"stable"	"easy"	"bgm"	159	0	8	-13
"3822"	"stable"	"easy"	"bgm"	160	-16	20	-14
"3846"	"stable"	"easy"	"bgm"	161	-4	12	1
"3870"	"stable"	"easy"	"bgm"	162	-2	-6	9
"3894"	"stable"	"easy"	"bgm"	163	-24	10	-8
"3918"	"stable"	"easy"	"bgm"	164	-3	16	9
"3942"	"stable"	"easy"	"bgm"	165	-9	8	14
"3966"	"stable"	"easy"	"bgm"	166	22	5	-5
"3990"	"stable"	"easy"	"bgm"	167	5	18	-1
"4014"	"stable"	"easy"	"bgm"	168	-15	-15	7
"4038"	"stable"	"easy"	"bgm"	169	0	-6	2
"4062"	"stable"	"easy"	"bgm"	170	-8	4	-1
"4086"	"stable"	"easy"	"bgm"	171	-10	-4	-4
"4110"	"stable"	"easy"	"bgm"	172	-1	9	-1
"4134"	"stable"	"easy"	"bgm"	173	-17	4	-3
"4158"	"stable"	"easy"	"bgm"	174	-22	11	-5
"4182"	"stable"	"easy"	"bgm"	175	6	-1	2
"4206"	"stable"	"easy"	"bgm"	176	-5	15	12
"4230"	"stable"	"easy"	"bgm"	177	-10	4	-28
"4254"	"stable"	"easy"	"bgm"	178	-26	15	-13
"4278"	"stable"	"easy"	"bgm"	179	-23	6	-9
"4302"	"stable"	"easy"	"bgm"	180	-20	3	-2
"4326"	"stable"	"easy"	"bgm"	181	-8	23	19
"4350"	"stable"	"easy"	"bgm"	182	-4	-2	10
"4374"	"stable"	"easy"	"bgm"	183	2	-4	-5
"4398"	"stable"	"easy"	"bgm"	184	-2	7	-11
"4422"	"stable"	"easy"	"bgm"	185	12	5	1
"4446"	"stable"	"easy"	"bgm"	186	-12	7	15
"4470"	"stable"	"easy"	"bgm"	187	-16	18	-17
"4494"	"stable"	"easy"	"bgm"	188	-5	24	1
"4518"	"stable"	"easy"	"bgm"	189	-2	-16	4
"4542"	"stable"	"easy"	"bgm"	190	-1	30	-1
"4566"	"stable"	"easy"	"bgm"	191	8	4	-1
"4590"	"stable"	"easy"	"bgm"	192	-11	8	7
"4614"	"stable"	"easy"	"bgm"	193	-3	2	6
"4638"	"stable"	"easy"	"bgm"	194	-10	14	0
"4662"	"stable"	"easy"	"bgm"	195	-6	-4	-8
"4686"	"stable"	"easy"	"bgm"	196	-20	-9	0
"4710"	"stable"	"easy"	"bgm"	197	-9	8	3
"4734"	"stable"	"easy"	"bgm"	198	8	4	4
"4758"	"stable"	"easy"	"bgm"	199	-3	-9	-2
"4782"	"stable"	"easy"	"bgm"	200	7	14	-4
"2"	"stable"	"easy"	"bmg"	1	-10	9	8
"26"	"stable"	"easy"	"bmg"	2	-37	1	14
"50"	"stable"	"easy"	"bmg"	3	9	9	5
"74"	"stable"	"easy"	"bmg"	4	9	7	9
"98"	"stable"	"easy"	"bmg"	5	-2	-2	15
"122"	"stable"	"easy"	"bmg"	6	-5	4	1
"146"	"stable"	"easy"	"bmg"	7	-26	12	-33
"170"	"stable"	"easy"	"bmg"	8	-6	1	7
"194"	"stable"	"easy"	"bmg"	9	-6	-12	-6
"218"	"stable"	"easy"	"bmg"	10	3	-4	9
"242"	"stable"	"easy"	"bmg"	11	15	-6	14
"266"	"stable"	"easy"	"bmg"	12	-18	-8	29
"290"	"stable"	"easy"	"bmg"	13	-21	9	-4
"314"	"stable"	"easy"	"bmg"	14	-1	1	-13
"338"	"stable"	"easy"	"bmg"	15	-13	-15	8
"362"	"stable"	"easy"	"bmg"	16	12	5	-13
"386"	"stable"	"easy"	"bmg"	17	-4	-11	-9
"410"	"stable"	"easy"	"bmg"	18	7	-6	0
"434"	"stable"	"easy"	"bmg"	19	5	-29	5
"458"	"stable"	"easy"	"bmg"	20	-2	-16	-2
"482"	"stable"	"easy"	"bmg"	21	-13	-14	-3
"506"	"stable"	"easy"	"bmg"	22	7	-13	8
"530"	"stable"	"easy"	"bmg"	23	-14	-11	13
"554"	"stable"	"easy"	"bmg"	24	2	11	3
"578"	"stable"	"easy"	"bmg"	25	10	-3	7
"602"	"stable"	"easy"	"bmg"	26	-11	-3	20
"626"	"stable"	"easy"	"bmg"	27	4	-8	21
"650"	"stable"	"easy"	"bmg"	28	-15	-2	4
"674"	"stable"	"easy"	"bmg"	29	-20	-1	16
"698"	"stable"	"easy"	"bmg"	30	2	-11	3
"722"	"stable"	"easy"	"bmg"	31	-8	-2	29
"746"	"stable"	"easy"	"bmg"	32	-2	18	0
"770"	"stable"	"easy"	"bmg"	33	-14	-14	-12
"794"	"stable"	"easy"	"bmg"	34	-8	-14	-7
"818"	"stable"	"easy"	"bmg"	35	-3	-4	12
"842"	"stable"	"easy"	"bmg"	36	-8	15	-11
"866"	"stable"	"easy"	"bmg"	37	-13	10	8
"890"	"stable"	"easy"	"bmg"	38	-5	17	14
"914"	"stable"	"easy"	"bmg"	39	-26	13	8
"938"	"stable"	"easy"	"bmg"	40	-6	-11	1
"962"	"stable"	"easy"	"bmg"	41	-7	2	29
"986"	"stable"	"easy"	"bmg"	42	12	-5	-12
"1010"	"stable"	"easy"	"bmg"	43	-6	-3	4
"1034"	"stable"	"easy"	"bmg"	44	-15	-16	11
"1058"	"stable"	"easy"	"bmg"	45	-17	6	-5
"1082"	"stable"	"easy"	"bmg"	46	-7	-7	1
"1106"	"stable"	"easy"	"bmg"	47	-17	4	2
"1130"	"stable"	"easy"	"bmg"	48	-13	-5	-4
"1154"	"stable"	"easy"	"bmg"	49	-5	-9	3
"1178"	"stable"	"easy"	"bmg"	50	-3	-16	21
"1202"	"stable"	"easy"	"bmg"	51	1	4	2
"1226"	"stable"	"easy"	"bmg"	52	-7	-3	15
"1250"	"stable"	"easy"	"bmg"	53	-14	9	-6
"1274"	"stable"	"easy"	"bmg"	54	-10	1	5
"1298"	"stable"	"easy"	"bmg"	55	-13	1	9
"1322"	"stable"	"easy"	"bmg"	56	-19	16	-4
"1346"	"stable"	"easy"	"bmg"	57	3	0	14
"1370"	"stable"	"easy"	"bmg"	58	-5	9	16
"1394"	"stable"	"easy"	"bmg"	59	0	14	2
"1418"	"stable"	"easy"	"bmg"	60	-21	-7	-2
"1442"	"stable"	"easy"	"bmg"	61	10	-9	7
"1466"	"stable"	"easy"	"bmg"	62	3	15	23
"1490"	"stable"	"easy"	"bmg"	63	-18	-13	16
"1514"	"stable"	"easy"	"bmg"	64	-4	2	27
"1538"	"stable"	"easy"	"bmg"	65	-9	-9	-8
"1562"	"stable"	"easy"	"bmg"	66	15	6	0
"1586"	"stable"	"easy"	"bmg"	67	1	1	19
"1610"	"stable"	"easy"	"bmg"	68	2	11	5
"1634"	"stable"	"easy"	"bmg"	69	3	-3	-12
"1658"	"stable"	"easy"	"bmg"	70	3	19	14
"1682"	"stable"	"easy"	"bmg"	71	-8	-5	12
"1706"	"stable"	"easy"	"bmg"	72	0	4	6
"1730"	"stable"	"easy"	"bmg"	73	2	-6	17
"1754"	"stable"	"easy"	"bmg"	74	-9	-20	21
"1778"	"stable"	"easy"	"bmg"	75	-11	1	1
"1802"	"stable"	"easy"	"bmg"	76	-11	9	1
"1826"	"stable"	"easy"	"bmg"	77	-5	-17	24
"1850"	"stable"	"easy"	"bmg"	78	-4	29	11
"1874"	"stable"	"easy"	"bmg"	79	-11	-12	4
"1898"	"stable"	"easy"	"bmg"	80	7	16	2
"1922"	"stable"	"easy"	"bmg"	81	-8	3	-1
"1946"	"stable"	"easy"	"bmg"	82	8	9	-6
"1970"	"stable"	"easy"	"bmg"	83	-3	-4	11
"1994"	"stable"	"easy"	"bmg"	84	9	11	16
"2018"	"stable"	"easy"	"bmg"	85	-1	5	-2
"2042"	"stable"	"easy"	"bmg"	86	1	5	8
"2066"	"stable"	"easy"	"bmg"	87	6	0	7
"2090"	"stable"	"easy"	"bmg"	88	-6	-5	6
"2114"	"stable"	"easy"	"bmg"	89	-6	11	2
"2138"	"stable"	"easy"	"bmg"	90	-5	-11	0
"2162"	"stable"	"easy"	"bmg"	91	-9	-2	-11
"2186"	"stable"	"easy"	"bmg"	92	-4	2	2
"2210"	"stable"	"easy"	"bmg"	93	-11	-3	6
"2234"	"stable"	"easy"	"bmg"	94	-22	12	-15
"2258"	"stable"	"easy"	"bmg"	95	-4	9	-10
"2282"	"stable"	"easy"	"bmg"	96	-1	-3	9
"2306"	"stable"	"easy"	"bmg"	97	8	10	-8
"2330"	"stable"	"easy"	"bmg"	98	2	4	7
"2354"	"stable"	"easy"	"bmg"	99	-1	13	15
"2378"	"stable"	"easy"	"bmg"	100	-11	-3	-7
"2402"	"stable"	"easy"	"bmg"	101	5	4	5
"2426"	"stable"	"easy"	"bmg"	102	2	5	-4
"2450"	"stable"	"easy"	"bmg"	103	-15	5	7
"2474"	"stable"	"easy"	"bmg"	104	16	-1	-3
"2498"	"stable"	"easy"	"bmg"	105	6	1	11
"2522"	"stable"	"easy"	"bmg"	106	7	0	-16
"2546"	"stable"	"easy"	"bmg"	107	-20	-14	6
"2570"	"stable"	"easy"	"bmg"	108	-16	10	4
"2594"	"stable"	"easy"	"bmg"	109	-12	0	16
"2618"	"stable"	"easy"	"bmg"	110	-16	0	29
"2642"	"stable"	"easy"	"bmg"	111	1	-5	10
"2666"	"stable"	"easy"	"bmg"	112	0	-8	-1
"2690"	"stable"	"easy"	"bmg"	113	13	12	11
"2714"	"stable"	"easy"	"bmg"	114	11	-5	13
"2738"	"stable"	"easy"	"bmg"	115	-17	-3	8
"2762"	"stable"	"easy"	"bmg"	116	-6	-12	10
"2786"	"stable"	"easy"	"bmg"	117	-13	-16	22
"2810"	"stable"	"easy"	"bmg"	118	11	2	-7
"2834"	"stable"	"easy"	"bmg"	119	0	17	1
"2858"	"stable"	"easy"	"bmg"	120	-10	7	22
"2882"	"stable"	"easy"	"bmg"	121	-10	0	1
"2906"	"stable"	"easy"	"bmg"	122	7	16	10
"2930"	"stable"	"easy"	"bmg"	123	3	-17	-4
"2954"	"stable"	"easy"	"bmg"	124	-16	-12	6
"2978"	"stable"	"easy"	"bmg"	125	4	13	6
"3002"	"stable"	"easy"	"bmg"	126	2	-13	0
"3026"	"stable"	"easy"	"bmg"	127	-3	27	0
"3050"	"stable"	"easy"	"bmg"	128	2	-3	-1
"3074"	"stable"	"easy"	"bmg"	129	1	-5	7
"3098"	"stable"	"easy"	"bmg"	130	-9	9	-1
"3122"	"stable"	"easy"	"bmg"	131	5	4	-3
"3146"	"stable"	"easy"	"bmg"	132	4	-13	4
"3170"	"stable"	"easy"	"bmg"	133	-4	12	12
"3194"	"stable"	"easy"	"bmg"	134	-5	-11	-7
"3218"	"stable"	"easy"	"bmg"	135	-7	3	9
"3242"	"stable"	"easy"	"bmg"	136	7	-1	2
"3266"	"stable"	"easy"	"bmg"	137	-4	-6	10
"3290"	"stable"	"easy"	"bmg"	138	-30	14	4
"3314"	"stable"	"easy"	"bmg"	139	-16	-8	-14
"3338"	"stable"	"easy"	"bmg"	140	-5	10	-7
"3362"	"stable"	"easy"	"bmg"	141	-12	18	15
"3386"	"stable"	"easy"	"bmg"	142	-11	10	20
"3410"	"stable"	"easy"	"bmg"	143	3	-5	-6
"3434"	"stable"	"easy"	"bmg"	144	-10	-16	-2
"3458"	"stable"	"easy"	"bmg"	145	-13	13	13
"3482"	"stable"	"easy"	"bmg"	146	8	8	20
"3506"	"stable"	"easy"	"bmg"	147	-5	-11	-4
"3530"	"stable"	"easy"	"bmg"	148	-12	-10	5
"3554"	"stable"	"easy"	"bmg"	149	-10	-4	-3
"3578"	"stable"	"easy"	"bmg"	150	-4	-3	-2
"3602"	"stable"	"easy"	"bmg"	151	3	4	8
"3626"	"stable"	"easy"	"bmg"	152	-5	-2	3
"3650"	"stable"	"easy"	"bmg"	153	-7	6	13
"3674"	"stable"	"easy"	"bmg"	154	-2	11	-10
"3698"	"stable"	"easy"	"bmg"	155	-19	2	2
"3722"	"stable"	"easy"	"bmg"	156	-11	-12	20
"3746"	"stable"	"easy"	"bmg"	157	-3	-5	-15
"3770"	"stable"	"easy"	"bmg"	158	-6	3	-12
"3794"	"stable"	"easy"	"bmg"	159	0	-13	8
"3818"	"stable"	"easy"	"bmg"	160	-16	-14	20
"3842"	"stable"	"easy"	"bmg"	161	-4	1	12
"3866"	"stable"	"easy"	"bmg"	162	-2	9	-6
"3890"	"stable"	"easy"	"bmg"	163	-24	-8	10
